feature,coefficient,abs_coefficient
grade_A,-0.9085761548876351,0.9085761548876351
sub_grade_A1,-0.5826221976144792,0.5826221976144792
purpose_wedding,-0.4804661427564636,0.4804661427564636
grade_B,-0.39697490058475476,0.39697490058475476
home_ownership_MORTGAGE,-0.3476902149417167,0.3476902149417167
verification_status_Not Verified,-0.2945984044422643,0.2945984044422643
term_months,0.2849180300651519,0.2849180300651519
purpose_small_business,0.27679865643149243,0.27679865643149243
sub_grade_A2,-0.25387929277529553,0.25387929277529553
grade_G,0.23264133489299746,0.23264133489299746
grade_F,0.22464411794408706,0.22464411794408706
purpose_car,-0.22199086496395237,0.22199086496395237
sub_grade_B1,-0.21196683245033124,0.21196683245033124
installment,0.21026767907629984,0.21026767907629984
sub_grade_B2,-0.20482409280717387,0.20482409280717387
home_ownership_OWN,-0.19581467025126678,0.19581467025126678
verification_status_Verified,-0.194120680144924,0.194120680144924
grade_E,0.17749118017159324,0.17749118017159324
verification_status_Source Verified,-0.16928832323175,0.16928832323175
fico_avg,-0.15783072811299553,0.15783072811299553
