column,missing_rate
emp_length,0.06499753837415917
mort_acc,0.022144901072720363
revol_util,0.0008116951335006265
dti,0.0007714421323297508
pub_rec_bankruptcies,0.0006183922597459814
inq_last_6mths,2.7867462349067834e-05
total_acc,2.7425121676860406e-05
pub_rec,2.7425121676860406e-05
open_acc,2.7425121676860406e-05
earliest_cr_line,2.7425121676860406e-05
delinq_2yrs,2.7425121676860406e-05
annual_inc,1.636660487167476e-05
revol_bal,1.4597242182845055e-05
fico_range_high,1.4597242182845055e-05
fico_range_low,1.4597242182845055e-05
purpose,1.4597242182845055e-05
loan_amnt,1.4597242182845055e-05
loan_status,1.4597242182845055e-05
issue_d,1.4597242182845055e-05
verification_status,1.4597242182845055e-05
home_ownership,1.4597242182845055e-05
sub_grade,1.4597242182845055e-05
grade,1.4597242182845055e-05
installment,1.4597242182845055e-05
int_rate,1.4597242182845055e-05
term,1.4597242182845055e-05
funded_amnt,1.4597242182845055e-05
id,0.0
