bin,expected_share_train,actual_share_test,expected_share_train_adj,actual_share_test_adj,psi_component
"(-0.000999888, 0.0657]",0.10000062603426077,0.10042142524997018,0.10000062603426077,0.10042142524997018,1.7669935917312805e-06
"(0.0657, 0.0993]",0.09999958264382615,0.09945733282369525,0.09999958264382615,0.09945733282369525,2.948361967251096e-06
"(0.0993, 0.13]",0.09999958264382615,0.10085964908009515,0.09999958264382615,0.10085964908009515,7.36554441017386e-06
"(0.13, 0.16]",0.10000062603426077,0.0996034074337369,0.10000062603426077,0.0996034074337369,1.5809582817187305e-06
"(0.16, 0.192]",0.09999958264382615,0.09970079050709801,0.09999958264382615,0.09970079050709801,8.941075690640875e-07
"(0.192, 0.226]",0.09999958264382615,0.10008301907004034,0.09999958264382615,0.10008301907004034,6.958763593938077e-08
"(0.226, 0.265]",0.10000062603426077,0.10008301907004034,0.10000062603426077,0.10008301907004034,6.785774744515783e-08
"(0.265, 0.314]",0.09999958264382615,0.0998858183464841,0.09999958264382615,0.0998858183464841,1.2949736882304698e-07
"(0.314, 0.391]",0.09999958264382615,0.10043116355730629,0.09999958264382615,0.10043116355730629,1.8586207583734583e-06
"(0.391, 1.0]",0.10000062603426077,0.09947437486153345,0.10000062603426077,0.09947437486153345,2.7766982133833716e-06
