risk_band,exposure,ecl,avg_pd,scenario,ecl_rate
Low Risk,1363561475.0,116066051.89025709,0.15671690077902728,Adverse,0.0851197793559378
Medium Risk,1312785000.0,227329995.8719222,0.3134411514055008,Adverse,0.17316620457418555
High Risk,1404293350.0,531642267.1097083,0.6855086652870122,Adverse,0.3785834826531852
Very High Risk,1851807325.0,955420171.2221224,0.9311098378084399,Adverse,0.515939297962396
Low Risk,1363561475.0,84840294.69180465,0.14011526259891519,Base,0.062219633105874195
Medium Risk,1312785000.0,166969290.22980362,0.2812046823015701,Base,0.1271870795521
High Risk,1404293350.0,377820512.13089997,0.5953749028588033,Base,0.26904671458488355
Very High Risk,1851807325.0,711560703.8813918,0.8441279398930254,Base,0.38425201924362823
Low Risk,1363561475.0,101015553.21730593,0.15007624550698243,Mild Deterioration,0.07408214082706167
Medium Risk,1312785000.0,198206753.00197127,0.3005465637639285,Mild Deterioration,0.15098188431614565
High Risk,1404293350.0,457906918.7644833,0.6494551603157286,Mild Deterioration,0.3260763990404735
Very High Risk,1851807325.0,841350593.0780942,0.9002103256021524,Mild Deterioration,0.4543402446461833
Low Risk,1363561475.0,140114629.38360927,0.17331853895913937,Severe Stress,0.10275637142330474
Medium Risk,1312785000.0,273366997.9596072,0.34567762050943146,Severe Stress,0.20823440088027148
High Risk,1404293350.0,656186081.7617999,0.7756424277152211,Severe Stress,0.4672713730089229
Very High Risk,1851807325.0,1095461424.6496773,0.9836959674339387,Severe Stress,0.5915633931568325
