date,total_loans_total,consumer_loans_total,commercial_loans_total,sme_loans_total,npl_total,consumer_npl_total,commercial_npl_total,sme_npl_total,npl_allowance_total,policy_rate,cpi_yoy,total_npl_ratio,consumer_npl_ratio,commercial_npl_ratio,sme_npl_ratio,coverage_ratio,total_loan_growth_since_start,npl_growth_since_start
2024-03-29,400308.52,93275.25,307033.27,110539.42,6140.21,1679.57,4460.64,1746.64,4999.81,50.0,68.5,0.015338694265113317,0.018006598749400297,0.014528197546800058,0.01580105992957083,0.8142734531880832,0.0,0.0
2024-06-28,424342.68,98185.51,326157.17,112540.45,6637.07,2100.29,4536.78,1851.33,5253.29,50.0,71.6,0.01564082594755729,0.02139103824994136,0.013909796923979933,0.0164503518512677,0.7915073970893783,0.06003909184845724,0.0809190565143536
2024-09-27,440520.95,101979.27,338541.69,114333.53,7695.66,2659.11,5036.55,2141.27,5753.94,50.0,49.38,0.017469452928402157,0.026075005243712767,0.014877192820771941,0.018728276823080682,0.7476863582850594,0.10045359514206686,0.2533219547865626
2024-12-27,455182.65,109042.85,346139.8,119205.84,8226.76,3172.03,5054.73,2429.0,6184.17,47.5,44.38,0.018073535975064076,0.02908975691666166,0.014603145896542378,0.020376518465873822,0.7517139189668837,0.13707959550798465,0.3398173678098957
2025-03-28,465692.04,109007.12,356684.92,121963.15,9251.24,3883.33,5367.91,2761.98,6880.72,42.5,38.1,0.01986557468321769,0.03562455369887765,0.015049444759256994,0.02264602053981059,0.7437619173213538,0.16333282139485794,0.5066650814874409
2025-06-27,490313.1,115626.3,374686.8,121238.82,10707.45,4568.36,6139.09,3168.95,7811.2,46.0,35.05,0.0218379847489288,0.039509696323414306,0.01638459107713429,0.026138080195765676,0.7295107611989782,0.22483803242559008,0.7438247226072074
2025-09-26,508501.09,122816.57,385684.52,134167.53,11825.41,4937.73,6887.68,3972.87,8692.17,40.5,33.29,0.023255427043430723,0.0402041027525846,0.01785832628180151,0.029611262874109704,0.7350417448528211,0.2702729634632808,0.9258966712864869
2025-12-26,535583.72,130485.57,405098.15,143937.11,13531.1,5531.48,7999.62,4580.32,9974.21,38.0,30.89,0.025264210794159317,0.04239150735211564,0.01974736246018403,0.03182167545256397,0.7371322361079291,0.3379273566298313,1.2036868445867488
2026-03-27,554836.04,136981.66,417854.39,150653.67,15067.03,6178.34,8888.69,5234.53,11332.93,37.0,30.87,0.027155824268373048,0.045103410193744184,0.021272218774583174,0.03474545293188012,0.7521674809169425,0.38602106195491426,1.4538297550083792
2026-04-30,569020.6,141055.51,427965.09,155793.69,15662.28,6389.85,9272.43,5561.98,11711.25,37.0,32.37,0.027524978884771484,0.04530025094375966,0.021666323297538124,0.03570093243185908,0.7477359618139887,0.4214551316569528,1.550772693442081
2026-05-08,568139.51,139628.41,428511.1,153399.88,15792.49,6465.6,9326.89,5539.26,11911.27,37.0,32.37,0.02779685222032877,0.04630576255935307,0.0217658072334649,0.03610993698300155,0.7542363490494532,0.41925410430934607,1.571978808542379
