feature,importance
grade_A,0.23155044
int_rate,0.10705355
grade_D,0.092323914
grade_C,0.091847554
grade_B,0.065917574
term_months,0.061964218
grade_E,0.03414679
mort_acc,0.022421625
home_ownership_MORTGAGE,0.01914507
verification_status_Not Verified,0.017060304
sub_grade_B4,0.016467694
home_ownership_RENT,0.016348047
sub_grade_B5,0.013335035
dti,0.012975682
sub_grade_A1,0.012909196
sub_grade_C2,0.01272333
fico_avg,0.011988447
sub_grade_B3,0.010820507
sub_grade_C3,0.009948719
funded_amnt,0.008668732
sub_grade_C1,0.0085416185
installment,0.006785745
purpose_small_business,0.006583212
loan_amnt,0.006527524
emp_length_years,0.0061658835
annual_inc,0.0057540587
verification_status_Source Verified,0.005726515
inq_last_6mths,0.0056609767
revol_bal,0.0055406867
pub_rec,0.005263316
sub_grade_A5,0.005082727
sub_grade_C4,0.00413568
purpose_wedding,0.0038645247
open_acc,0.0038049873
delinq_2yrs,0.0033373644
credit_history_months,0.0032984903
total_acc,0.0030286612
home_ownership_OWN,0.002684496
revol_util,0.0026763147
verification_status_Verified,0.0026035442
purpose_credit_card,0.0026026154
purpose_home_improvement,0.0024623855
purpose_medical,0.0024419022
purpose_moving,0.0023470353
purpose_vacation,0.0022349942
pub_rec_bankruptcies,0.002226832
purpose_other,0.0022137717
sub_grade_B2,0.001976797
purpose_major_purchase,0.0018915221
purpose_car,0.0018330596
purpose_debt_consolidation,0.0017281255
grade_F,0.0014295389
sub_grade_D1,0.0013276392
purpose_renewable_energy,0.0010431197
sub_grade_C5,0.0010000361
sub_grade_D5,0.0009900606
sub_grade_A4,0.0008967086
purpose_house,0.0008372184
sub_grade_E2,0.000809916
sub_grade_F5,0.00059670606
sub_grade_B1,0.0004273498
home_ownership_OTHER,0.0
purpose_educational,0.0
sub_grade_G3,0.0
home_ownership_NONE,0.0
home_ownership_ANY,0.0
sub_grade_A3,0.0
sub_grade_A2,0.0
grade_G,0.0
sub_grade_D3,0.0
sub_grade_D4,0.0
sub_grade_E1,0.0
sub_grade_E3,0.0
sub_grade_E4,0.0
sub_grade_E5,0.0
sub_grade_F1,0.0
sub_grade_F2,0.0
sub_grade_F3,0.0
sub_grade_F4,0.0
sub_grade_G1,0.0
sub_grade_G2,0.0
sub_grade_G4,0.0
sub_grade_G5,0.0
sub_grade_D2,0.0
